symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2023-11-09 00:00:00+00:00,182.41,184.12,181.81,182.96,53763540,181.6960647,183.3993719,181.098413,182.243912,53763540,0,1
AAPL,2023-11-10 00:00:00+00:00,186.4,186.565,183.53,183.97,66177922,185.9095089,186.0740747,183.047061,183.4859032,66177922,0.24,1
AAPL,2023-11-13 00:00:00+00:00,184.8,186.03,184.21,185.82,43627519,184.3137191,185.5404825,183.7252716,185.3310351,43627519,0,1
AAPL,2023-11-14 00:00:00+00:00,187.44,188.11,186.3,187.7,60108378,186.9467722,187.6150092,185.809772,187.2060881,60108378,0,1
AAPL,2023-11-15 00:00:00+00:00,188.01,189.5,187.78,187.845,53790499,187.5152723,189.0013516,187.2858776,187.3507065,53790499,0,1
AAPL,2023-11-16 00:00:00+00:00,189.71,190.96,188.65,189.57,54412915,189.210799,190.4575097,188.1535883,189.0711674,54412915,0,1
AAPL,2023-11-17 00:00:00+00:00,189.69,190.38,188.57,190.25,50941404,189.1908516,189.8790359,188.0737988,189.749378,50941404,0,1
AAPL,2023-11-20 00:00:00+00:00,191.45,191.905,189.88,189.89,46538614,190.9462204,191.4000231,189.3803516,189.3903253,46538614,0,1
AAPL,2023-11-21 00:00:00+00:00,190.64,191.52,189.74,191.41,38134485,190.1383518,191.0160362,189.24072,190.9063256,38134485,0,1
AAPL,2023-11-22 00:00:00+00:00,191.31,192.93,190.825,191.49,39630011,190.8065888,192.4223259,190.322865,190.9861151,39630011,0,1
AAPL,2023-11-24 00:00:00+00:00,189.97,190.9,189.25,190.87,24048344,189.4701148,190.3976676,188.7520094,190.3677466,24048344,0,1
AAPL,2023-11-27 00:00:00+00:00,189.79,190.67,188.9,189.92,40552609,189.2905885,190.1682728,188.4029304,189.4202464,40552609,0,1
AAPL,2023-11-28 00:00:00+00:00,190.4,191.08,189.4,189.78,38415419,189.8989833,190.577194,188.9016147,189.2806148,38415419,0,1
AAPL,2023-11-29 00:00:00+00:00,189.37,192.09,188.97,190.9,43014224,188.8716937,191.5845363,188.4727462,190.3976676,43014224,0,1
AAPL,2023-11-30 00:00:00+00:00,189.95,190.32,188.19,189.84,48794366,189.4501674,189.8191938,187.6947987,189.3404569,48794366,0,1
AAPL,2023-12-01 00:00:00+00:00,191.24,191.56,189.23,190.33,45704823,190.736773,191.0559309,188.732062,189.8291675,45704823,0,1
AAPL,2023-12-04 00:00:00+00:00,189.43,190.05,187.4511,189.98,43389519,188.9315358,189.5499043,186.957843,189.4800885,43389519,0,1
AAPL,2023-12-05 00:00:00+00:00,193.42,194.4,190.18,190.21,66628398,192.9110365,193.8884578,189.6795622,189.7094833,66628398,0,1
